date,quarter,num_components,raw_weight_coverage,index_iv,out_of_bounds,implied,realized,spread,zscore,position
2015-10-01,2015Q3,88,0.7588698167271939,0.20452,False,0.457101969902288,0.7520133211886815,-0.29491135128639345,,0
2015-10-02,2015Q3,88,0.7588698167271939,0.1878659999999999,False,0.402209725290746,0.7494622515282541,-0.3472525262375081,,0
2015-10-05,2015Q3,88,0.7588698167271939,0.1703879999999999,False,0.3848448364050627,0.7319226652960596,-0.347077828890997,,0
2015-10-06,2015Q3,88,0.7588698167271939,0.1716385,False,0.3794534419651077,0.6863351264232276,-0.30688168445811986,,0
2015-10-07,2015Q3,88,0.7588698167271939,0.1633775,False,0.3437134345769895,0.6805036657531834,-0.33679023117619394,,0
2015-10-08,2015Q3,89,0.7615460292526129,0.152171,False,0.3010887985406346,0.6266310990656423,-0.3255423005250077,,0
2015-10-09,2015Q3,89,0.7615460292526129,0.1459885,False,0.2906634168374714,0.601198970616387,-0.3105355537789157,,0
2015-10-12,2015Q3,127,0.8900994004994115,0.1431204999999999,False,0.3182447804714325,0.6078904564872502,-0.28964567601581764,,0
2015-10-13,2015Q3,127,0.8900994004994115,0.1514585,False,0.3534721194459416,0.6093312483458603,-0.2558591288999187,,0
2015-10-14,2015Q3,127,0.8900994004994115,0.1551779999999999,False,0.3608543438851755,0.5415933536600721,-0.1807390097748966,,0
2015-10-15,2015Q3,127,0.8900994004994115,0.138896,False,0.3185500760889905,0.5268314587789646,-0.20828138268997415,,0
2015-10-16,2015Q3,127,0.8900994004994115,0.1284155,False,0.2902008471402144,0.5282727975663493,-0.23807195042613488,,0
2015-10-19,2015Q3,126,0.8878116219647938,0.1285525,False,0.2979767556454477,0.5018304800938305,-0.2038537244483828,,0
2015-10-20,2015Q3,127,0.8900994004994115,0.132147,False,0.3087767547811961,0.4501656834449273,-0.1413889286637312,,0
2015-10-21,2015Q3,127,0.8900994004994115,0.145345,False,0.3534166970008929,0.4288951582633841,-0.07547846126249119,,0
2015-10-22,2015Q3,126,0.8878116219647938,0.1299334999999999,False,0.2923353075264883,0.4227702508954442,-0.1304349433689559,,0
2015-10-23,2015Q3,127,0.8900994004994115,0.1244935,False,0.3046899633077085,0.3975618559033931,-0.09287189259568462,,0
2015-10-26,2015Q3,127,0.8900994004994115,0.1318665,False,0.3326342695783768,0.3875117007662507,-0.054877431187873915,,0
2015-10-27,2015Q3,125,0.8777160197473675,0.1328295,False,0.3321524219859754,0.3700970709826113,-0.03794464899663591,,0
2015-10-28,2015Q3,125,0.8843275392146747,0.123608,False,0.3304449239438414,0.3685420980579286,-0.038097174114087196,,0
2015-10-29,2015Q3,126,0.8879358485687808,0.124779,False,0.3343634574128942,0.374173882046358,-0.03981042463346379,,0
2015-10-30,2015Q3,124,0.8784709934719439,0.1276975,False,0.3604410199389781,0.3479512294649903,0.012489790473987794,,0
2015-11-02,2015Q3,88,0.7579739429342038,0.117548,False,0.3066968336550597,0.3499281555581854,-0.04323132190312573,,0
2015-11-03,2015Q3,89,0.7615460292526129,0.1240935,False,0.3454640581617189,0.3304867931095549,0.014977265052163957,,0
2015-11-04,2015Q3,89,0.7615460292526129,0.12793,False,0.361079403255174,0.3301886496709058,0.030890753584268238,,0
2015-11-05,2015Q3,89,0.7615460292526129,0.126918,False,0.3462845325181609,0.3232884065729517,0.022996125945209167,,0
2015-11-06,2015Q3,89,0.7615460292526129,0.120619,False,0.3213277033993404,0.3269957992992528,-0.0056680958999124065,,0
2015-11-09,2015Q3,126,0.8878116219647938,0.138027,False,0.3913703901807492,0.2722561781565289,0.11911421202422029,,0
2015-11-10,2015Q3,127,0.8900994004994115,0.1314799999999999,False,0.3595971849416299,0.2745233251580515,0.0850738597835784,,0
2015-11-11,2015Q3,126,0.8878116219647938,0.135784,False,0.3803341080474522,0.2528240281428842,0.12751007990456803,,0
2015-11-12,2015Q3,127,0.8900994004994115,0.1547825,False,0.4524602647663805,0.2825359521889382,0.16992431257744234,,0
2015-11-13,2015Q3,127,0.8900994004994115,0.170538,False,0.4875309995163902,0.2876690233433191,0.19986197617307105,,0
2015-11-16,2015Q3,127,0.8900994004994115,0.155054,False,0.4128204720871106,0.2824799359405546,0.130340536146556,,0
2015-11-17,2015Q3,127,0.8900994004994115,0.1614775,False,0.4675516043341302,0.2830367010729217,0.18451490326120845,,0
2015-11-18,2015Q3,127,0.8900994004994115,0.1424455,False,0.4047930866677563,0.3027052702516051,0.10208781641615122,,0
2015-11-19,2015Q3,127,0.8900994004994115,0.142397,False,0.418023216080474,0.2983435530542009,0.11967966302627309,,0
2015-11-20,2015Q3,126,0.8868549630579728,0.131503,False,0.3829391530860408,0.2996805587635825,0.0832585943224583,,0
2015-11-23,2015Q3,127,0.8900994004994115,0.130869,False,0.3932772279171444,0.3006347980613849,0.09264242985575954,,0
2015-11-24,2015Q3,127,0.8900994004994115,0.129611,False,0.3854155751434869,0.2940684302800579,0.09134714486342899,,0
2015-11-25,2015Q3,127,0.8900994004994115,0.125012,False,0.3744527619388206,0.29729089782602,0.07716186411280063,,0
2015-11-27,2015Q3,127,0.8900994004994115,0.129036,False,0.3895969134219288,0.2834592869021051,0.10613762651982372,,0
2015-11-30,2015Q3,89,0.7615460292526129,0.1363225,False,0.4307367257506904,0.2998697136060643,0.1308670121446261,,0
2015-12-01,2015Q3,89,0.7615460292526129,0.121969,False,0.3630159606716431,0.308662898618171,0.05435306205347212,,0
2015-12-02,2015Q3,89,0.7615460292526129,0.1377789999999999,False,0.4269458532349502,0.3253047697833007,0.10164108345164952,,0
2015-12-03,2015Q3,89,0.7615460292526129,0.1555435,False,0.4780421809669455,0.3418925094115213,0.13614967155542423,,0
2015-12-04,2015Q3,89,0.7615460292526129,0.1251545,False,0.372551529806948,0.3739171087301525,-0.0013655789232044913,,0
